Source,Target,Weight,Ref,Group,Color,Label,TargetGroup,TargetColor,TargetLabel,Portal
apex:forcecom:ApprovalProcessing:apex_process,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_ProcessWorkitemRequest_htm,1,xref,apex,#0b5cab,Apex - Apex Process,https,maroon,External Link,dev_guides
apex:forcecom:ApprovalProcessing:apex_process,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_approval_htm,1,xref,apex,#0b5cab,Apex - Apex Process,https,maroon,External Link,dev_guides
apex:forcecom:OutboundEmail:apex_forcecom_email_outbound,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_classes_email_outbound_single_htm,1,xref,apex,#0b5cab,Apex - Apex Forcecom Email Outbound,https,maroon,External Link,dev_guides
apex:forcecom:OutboundEmail:apex_forcecom_email_outbound,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_classes_email_outbound_mass_htm,1,xref,apex,#0b5cab,Apex - Apex Forcecom Email Outbound,https,maroon,External Link,dev_guides
apex:forcecom:OutboundEmail:apex_forcecom_email_outbound,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_classes_email_outbound_messaging_htm,1,xref,apex,#0b5cab,Apex - Apex Forcecom Email Outbound,https,maroon,External Link,dev_guides
apex:forcecom:OutboundEmail:apex_forcecom_email_outbound,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_limits_htm,1,xref,apex,#0b5cab,Apex - Apex Forcecom Email Outbound,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_start_setup,https:help_salesforce_com_apex_HTViewHelpDoc,1,xref,apex,#0b5cab,Apex - Apex Connector Start Setup,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_start_setup,https:help_salesforce_com_articleView,1,xref,apex,#0b5cab,Apex - Apex Connector Start Setup,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_start_setup,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_DataSource_Connection_htm,1,xref,apex,#0b5cab,Apex - Apex Connector Start Setup,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_external_objects_considerations,help:resource:external_data_integration:platform_connect,2,conref,apex,#0b5cab,Apex - Apex External Objects Considerations,help,#936AAB,Help,dev_guides
apex:forcecom:ExternalData:apex_connector_external_objects_writeable,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_namespace_Database_htm,1,xref,apex,#0b5cab,Apex - Apex Connector External Objects Writeable,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_external_objects_writeable,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_namespace_DataSource_htm,1,xref,apex,#0b5cab,Apex - Apex Connector External Objects Writeable,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_authentication,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_DataSource_Provider_htm,1,xref,apex,#0b5cab,Apex - Apex Connector Authentication,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_authentication,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_enum_DataSource_AuthenticationCapability_htm,1,xref,apex,#0b5cab,Apex - Apex Connector Authentication,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_authentication,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_DataSource_Connection_htm,1,xref,apex,#0b5cab,Apex - Apex Connector Authentication,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_authentication,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_DataSource_ConnectionParams_htm,1,xref,apex,#0b5cab,Apex - Apex Connector Authentication,https,maroon,External Link,dev_guides
apex:forcecom:ExternalData:apex_connector_start_connection_class,docs:atlas_en-us_apexcode_meta:apexcode:apex_class_DataSource_Connection,1,xref,apex,#0b5cab,Apex - Apex Connector Start Connection Class,docs,#fcc003,Experience Cloud,dev_guides
apex:forcecom:Sites:apex_site_urlRewriter,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_site_urlRewriter_reference_htm,1,xref,apex,#0b5cab,Apex - Apex Site Urlrewriter,https,maroon,External Link,dev_guides
apex:forcecom:Sites:apex_site_urlRewriter,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_classes_restful_encodingUtil_htm,1,xref,apex,#0b5cab,Apex - Apex Site Urlrewriter,https,maroon,External Link,dev_guides
apex:forcecom:Sites:apex_site_urlRewriter,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_System_PageReference_getUrl_htm,1,xref,apex,#0b5cab,Apex - Apex Site Urlrewriter,https,maroon,External Link,dev_guides
apex:forcecom:PlatformCache:apex_platform_cache_limits,resource:limit,1,conref,apex,#0b5cab,Apex - Apex Platform Cache Limits,resource,Cyan,Resource,dev_guides
apex:forcecom:PlatformCache:apex_platform_cache_limitations,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_interface_cache_CacheBuilder_htm,1,xref,apex,#0b5cab,Apex - Apex Platform Cache Limitations,https,maroon,External Link,dev_guides
apex:forcecom:Metadata:apex_metadata,https:developer_salesforce_com_docs_atlas_en-us_api_meta_meta_api_meta_meta_intro_htm,1,xref,apex,#0b5cab,Apex - Apex Metadata,https,maroon,External Link,dev_guides
apex:forcecom:Metadata:apex_metadata_retrieve_deploy,https:developer_salesforce_com_docs_atlas_en-us_api_meta_meta_api_meta_metadata_htm,1,xref,apex,#0b5cab,Apex - Apex Metadata Retrieve Deploy,https,maroon,External Link,dev_guides
apex:forcecom:Metadata:apex_metadata_retrieve_deploy,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_Metadata_Operations_htm,1,xref,apex,#0b5cab,Apex - Apex Metadata Retrieve Deploy,https,maroon,External Link,dev_guides
apex:forcecom:PublisherActions:apex_quickaction,help:help:mdp:actions_overview_object_specific,1,xref,apex,#0b5cab,Apex - Apex Quickaction,help,#936AAB,Help,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_async_adapter_concept,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_interface_commercepayments_PaymentGatewayAdapter_htm#apex_interface_commerce_payments_PaymentGatewayAdapter,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Async Adapter Concept,https,maroon,External Link,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_async_adapter_concept,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_interface_commercepayments_PaymentGatewayAsyncAdapter_htm#apex_interface_commercepayments_PaymentGatewayAsyncAdapter,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Async Adapter Concept,https,maroon,External Link,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_async_adapter_concept,https:help_salesforce_com_articleView,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Async Adapter Concept,https,maroon,External Link,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_process_refund,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_commercepayments_PaymentGatewayContext_htm#apex_class_commerce_payments_PaymentGatewayContext,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Process Refund,https,maroon,External Link,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_process_refund,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_commercepayments_ReferencedRefundRequest_htm#apex_class_commerce_payments_ReferencedRefundRequest,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Process Refund,https,maroon,External Link,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_process_refund,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_commercepayments_PaymentsHttp_htm#apex_class_commerce_payments_PaymentsHttp,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Process Refund,https,maroon,External Link,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_process_refund,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_commercepayments_ReferencedRefundResponse_htm#apex_class_commerce_payments_ReferencedRefundResponse,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Process Refund,https,maroon,External Link,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_use_cases,docs:atlas_en-us_apexcode_meta:apexcode:apex_namespace_commercepayments,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Use Cases,docs,#fcc003,Experience Cloud,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_tokenization_service_apex_imp,https:developer_salesforce_com_docs_atlas_en-us_securityImplGuide_meta_securityImplGuide_fields_about_encrypted_fields_htm,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Tokenization Service Apex Imp,https,maroon,External Link,dev_guides
apex:forcecom:CommercePayments:apex_commercepayments_tokenization_service_apex_imp,https:developer_salesforce_com_docs_atlas_en-us_apexref_meta_apexref_apex_class_commercepayments_PaymentMethodTokenizationResponse_htm#apex_class_commercepayments_PaymentMethodTokenizationResponse,1,xref,apex,#0b5cab,Apex - Apex Commercepayments Tokenization Service Apex Imp,https,maroon,External Link,dev_guides
